pclass,sex,age,sibsp,parch,fare,embarked,survived
1,female,,0,0,129.73,S,1
3,male,,0,0,33.03,S,0
3,female,27.0,0,0,36.7,Q,1
3,male,44.0,0,0,32.9,S,0
3,female,46.9,0,1,45.65,S,1
3,female,67.2,0,0,44.54,S,0
2,male,38.1,1,1,67.62,S,1
2,female,34.4,1,0,50.62,S,0
3,male,32.5,0,0,31.83,S,0
3,male,24.6,0,0,27.41,S,0
3,female,34.6,0,0,44.18,Q,1
3,male,25.4,1,0,25.73,S,0
3,female,32.1,0,0,41.39,S,0
3,female,48.8,0,0,61.68,S,1
3,male,15.1,0,0,64.87,S,0
3,male,,0,2,35.73,C,0
3,male,48.8,0,0,36.07,S,1
3,male,28.0,1,2,26.44,S,0
3,female,,0,0,45.0,S,0
2,male,20.9,0,0,75.99,S,0
2,male,48.5,1,0,50.05,S,1
1,male,29.4,1,0,74.85,C,1
3,male,15.2,0,0,57.86,C,0
1,female,22.4,0,0,102.74,Q,1
3,male,,0,2,30.02,C,0
3,female,,2,1,39.4,S,1
2,male,26.2,0,0,48.85,S,0
3,female,,2,0,26.93,C,0
1,male,24.0,1,0,108.57,C,0
1,male,16.3,0,0,95.92,C,1
3,female,,0,0,50.69,S,1
2,male,,0,2,45.9,S,0
1,female,47.3,0,0,98.41,C,0
3,female,51.8,0,0,35.37,C,1
3,male,,0,0,32.54,Q,0
1,male,,3,0,79.23,S,0
3,female,35.6,0,0,26.72,S,0
1,male,,1,0,90.44,S,1
1,male,16.6,0,0,80.72,C,0
3,male,34.4,0,0,28.72,S,0
3,male,12.6,0,0,28.75,S,0
3,male,46.9,0,2,28.67,Q,0
3,female,23.0,2,0,26.06,S,1
3,female,32.6,0,0,40.95,C,1
3,female,,0,0,58.03,S,0
2,female,25.9,0,0,45.32,C,1
3,male,38.2,0,0,25.9,S,0
2,female,22.8,0,1,60.31,C,1
2,male,42.3,1,0,75.82,Q,0
1,male,10.2,1,0,72.12,S,0
1,male,31.5,0,0,72.74,S,1
3,male,57.8,0,0,41.33,S,0
3,female,15.2,0,1,30.77,S,1
3,female,19.9,0,1,25.49,C,0
2,male,37.2,0,0,68.92,S,0
1,male,32.3,0,1,82.69,S,1
1,female,34.8,0,0,80.65,S,1
2,male,36.8,0,2,69.36,C,1
3,male,38.9,0,0,45.24,Q,0
3,male,45.8,0,2,29.15,S,1
3,female,35.6,0,0,32.82,S,0
2,female,,0,0,47.43,S,1
3,male,39.5,1,0,27.5,S,0
3,male,57.2,0,2,45.3,S,0
3,female,,0,1,60.21,S,1
3,female,,0,0,84.21,S,0
2,male,45.8,1,0,62.82,S,1
2,female,28.0,0,0,48.66,S,1
2,male,1.0,0,0,47.01,S,0
3,male,,0,0,55.17,S,0
1,female,,1,0,80.56,C,1
1,male,28.4,3,1,82.34,S,0
1,male,34.5,0,0,92.37,S,1
1,male,32.5,1,1,86.87,S,0
3,male,40.0,2,0,57.37,C,0
3,female,23.4,2,0,26.04,Q,0
3,male,37.1,0,0,49.78,S,0
1,female,25.9,0,0,99.25,S,1
3,male,40.4,0,0,31.07,S,0
3,male,38.6,1,0,43.41,S,0
1,male,16.1,0,0,71.79,S,0
2,female,45.4,0,0,102.05,S,1
2,male,21.9,0,0,45.61,S,0
3,female,41.4,1,0,40.61,S,1
3,male,35.0,1,1,28.28,S,0
1,female,,0,2,87.42,S,1
2,male,26.5,1,0,48.48,S,0
3,female,24.6,0,0,29.83,S,0
3,female,,1,0,37.28,S,1
3,female,25.3,0,2,69.34,C,1
3,female,,0,0,29.28,S,1
1,female,6.3,2,0,67.8,S,0
1,male,,0,0,90.61,Q,0
3,male,14.2,1,0,37.5,S,0
1,male,,0,0,108.7,S,1
3,female,54.5,0,1,27.85,S,0
3,male,28.2,0,0,43.69,C,1
3,female,27.3,0,0,29.77,Q,0
2,male,30.7,0,0,48.07,C,0
3,male,46.5,0,0,45.7,S,0
3,male,16.3,0,2,41.21,S,0
3,female,,0,0,50.3,S,0
3,male,,3,1,31.67,S,1
2,male,37.0,3,0,55.69,S,0
3,male,32.4,0,0,34.36,S,0
3,male,44.2,1,2,99.53,C,0
1,male,1.0,0,0,71.22,S,1
1,male,39.5,0,1,71.29,S,0
1,female,20.2,1,0,72.88,S,1
1,male,3.2,2,1,79.97,C,0
1,male,37.1,0,0,70.23,C,0
3,male,,1,0,69.43,S,0
1,male,27.7,0,1,70.56,S,0
2,male,43.5,4,2,85.71,S,0
3,male,53.1,0,2,26.97,Q,0
1,male,48.8,0,1,84.24,S,1
3,male,53.5,0,1,67.75,S,0
2,female,40.5,1,0,48.33,S,1
1,female,,0,0,127.14,S,1
3,female,6.5,2,0,35.86,C,0
3,male,26.1,0,0,77.44,S,1
3,male,17.5,0,0,45.33,S,1
3,male,61.2,0,0,31.46,S,0
3,male,,0,0,28.76,S,0
2,female,31.5,0,0,51.52,Q,0
1,male,,0,0,66.76,S,0
3,male,30.3,0,0,27.8,C,0
3,male,54.3,0,0,26.99,C,0
3,female,20.7,0,1,34.9,S,1
2,male,32.5,1,0,73.58,S,0
2,male,18.9,1,0,47.74,S,0
3,male,10.6,0,0,27.51,C,0
2,male,20.8,0,0,63.56,S,0
3,male,29.2,0,0,28.95,S,0
3,male,23.5,0,0,26.85,S,0
2,male,,0,0,48.29,C,0
3,male,9.3,0,0,71.32,S,0
3,male,28.5,0,0,56.01,S,1
1,male,7.9,0,2,72.87,S,1
3,male,40.7,0,2,44.2,S,0
3,female,30.9,1,0,38.87,C,0
3,female,8.6,3,0,45.35,S,1
2,male,,0,0,65.66,C,0
3,male,18.8,0,0,42.84,S,0
2,male,34.3,1,2,50.57,S,1
1,male,,2,0,65.72,S,1
3,female,2.5,0,1,35.94,S,0
1,male,,0,0,104.89,S,0
2,female,27.4,0,2,60.17,S,0
3,male,39.4,0,0,57.15,S,0
3,male,32.8,0,1,111.08,S,0
3,female,18.8,0,0,28.22,S,0
3,female,,0,0,46.18,C,0
2,female,18.2,0,0,65.19,S,0
2,female,45.3,1,0,115.38,S,1
2,male,30.0,0,2,121.33,S,1
3,female,57.3,0,2,45.89,C,1
3,male,28.8,0,1,30.03,C,0
3,female,,0,0,53.84,S,0
3,male,,3,1,27.04,C,0
1,female,3.6,0,0,92.31,S,1
3,male,,0,0,68.38,S,0
1,male,33.6,1,0,73.69,C,1
3,male,37.1,0,0,42.93,C,0
2,female,,1,0,55.12,S,1
3,male,42.7,0,0,35.37,C,0
2,male,,0,0,51.69,S,1
1,male,31.8,0,1,90.85,C,0
1,male,,0,0,114.53,S,0
3,female,42.7,1,0,75.87,S,1
3,male,,1,0,28.46,S,1
1,female,16.8,0,0,102.39,S,1
1,male,1.0,0,0,89.07,S,1
3,male,19.3,1,0,30.25,S,0
1,female,,2,0,66.25,S,1
3,female,,0,0,30.62,S,0
3,male,27.8,0,0,68.79,S,0
1,male,30.8,0,1,83.05,S,0
1,female,26.4,1,0,87.98,S,1
3,male,20.3,0,0,30.35,C,0
2,female,32.1,0,1,67.87,C,1
2,female,36.1,1,0,45.51,C,1
3,female,13.9,0,0,33.47,S,0
3,male,50.2,0,1,42.74,C,0
3,female,28.3,0,0,27.84,S,0
3,male,30.0,0,0,56.17,S,0
2,male,40.0,0,0,49.82,S,0
1,male,33.1,0,0,84.01,C,1
3,male,43.5,0,0,34.35,S,0
3,female,33.9,0,0,41.32,S,0
2,female,20.8,1,0,47.05,S,0
3,female,34.9,1,0,25.31,C,0
1,male,13.1,0,0,108.26,S,1
3,male,,0,0,30.66,S,0
1,male,29.2,0,0,95.83,S,1
3,female,26.7,0,0,157.1,S,1
1,male,27.8,0,0,69.28,S,0
1,female,2.4,0,2,70.55,S,1
1,male,21.7,0,0,84.57,C,0
3,male,,0,0,85.58,S,1
3,female,,0,0,69.55,S,1
3,male,14.8,1,0,37.58,S,0
3,female,48.1,0,2,53.54,S,0
2,female,17.1,0,0,47.63,S,0
2,male,,0,2,113.25,S,0
3,male,35.9,1,0,85.01,S,0
1,male,20.3,1,0,68.22,C,0
3,female,,0,0,31.41,S,1
1,male,12.4,0,1,66.9,S,1
3,male,,0,0,30.71,C,0
1,male,44.2,0,0,95.47,S,0
3,female,20.0,0,0,33.56,C,1
3,male,49.9,1,0,26.67,S,0
3,female,26.1,0,2,32.54,S,0
1,female,33.9,1,0,136.71,C,1
3,male,33.5,0,0,42.88,S,0
3,male,,0,0,34.69,S,0
3,female,41.5,1,0,28.28,C,0
3,male,41.2,0,2,102.07,S,0
3,female,4.3,0,0,55.95,S,1
3,male,48.6,0,0,30.95,S,0
3,male,5.6,0,1,26.31,C,0
3,female,44.7,4,0,26.05,Q,1
3,male,46.0,0,0,27.31,S,0
1,male,,4,0,80.65,S,1
2,male,23.7,3,0,92.55,C,0
3,male,13.7,1,0,37.36,S,0
3,male,26.6,0,2,58.32,S,0
3,male,25.2,0,0,35.63,S,0
3,female,41.0,1,0,47.19,C,1
2,male,48.7,0,2,68.69,C,0
1,female,49.9,0,0,68.44,S,1
3,male,21.5,0,0,33.07,S,0
2,female,26.7,0,0,63.26,S,1
3,male,5.3,0,2,26.32,S,0
1,female,18.0,0,0,73.08,S,1
3,male,,0,1,38.78,C,0
3,male,53.1,1,1,125.43,S,0
3,male,11.8,0,0,36.58,C,0
3,male,21.1,2,0,55.48,S,0
2,male,29.3,1,1,55.18,S,0
3,male,33.8,1,0,53.65,S,0
3,female,18.0,0,1,41.29,S,0
1,male,,1,2,104.18,S,0
3,male,22.8,0,0,34.53,Q,0
3,male,29.5,1,0,41.69,C,0
3,female,37.6,0,1,42.9,S,0
3,male,29.8,1,1,34.72,S,0
3,male,23.4,4,0,27.81,Q,0
2,male,28.1,0,0,46.77,S,0
3,female,,0,0,25.3,S,0
3,female,24.3,1,0,62.22,S,0
1,male,25.9,0,0,69.86,Q,0
1,female,52.9,1,0,69.28,S,0
2,female,37.8,0,0,68.97,S,0
3,male,25.4,0,0,31.94,Q,0
3,female,39.8,3,0,37.7,S,0
1,male,24.9,0,0,68.19,S,1
3,male,46.7,1,0,82.83,S,0
2,male,35.1,0,0,79.34,C,0
3,male,,0,0,60.88,S,1
3,male,,0,0,34.4,Q,0
3,female,6.9,0,0,50.87,S,0
3,male,13.4,1,0,27.8,S,1
2,male,,0,2,45.16,Q,1
2,male,31.8,0,0,45.36,S,0
1,female,54.8,0,2,80.9,S,1
3,male,62.1,1,0,35.94,S,0
3,male,,0,0,38.14,S,0
3,male,37.0,1,2,25.13,S,0
3,male,3.6,0,0,34.89,S,0
3,female,21.8,0,0,47.79,S,0
3,female,,1,0,35.52,C,1
3,male,20.7,0,0,48.72,S,0
3,female,27.3,0,0,29.78,Q,0
2,male,22.9,0,0,75.19,S,1
3,female,1.0,0,0,40.98,S,1
1,male,40.5,1,0,69.26,S,1
3,male,14.1,0,2,29.86,S,0
3,male,33.2,1,0,42.8,S,0
1,female,59.8,0,0,96.89,C,1
3,male,16.4,0,1,34.67,C,0
3,male,1.0,2,0,30.38,Q,0
2,male,25.6,0,0,81.31,S,0
1,female,45.7,0,0,84.92,C,1
3,male,58.1,0,0,35.7,S,1
3,female,11.9,0,0,37.05,S,0
3,female,36.9,0,1,29.11,C,0
3,male,23.0,0,2,42.74,S,0
3,female,,0,0,33.0,S,1
3,male,68.0,0,0,122.86,S,0
3,female,,0,0,36.78,S,0
3,male,33.4,0,0,36.98,C,0
2,female,36.5,0,2,60.02,S,0
1,female,,0,0,109.75,Q,1
1,female,31.1,3,0,94.04,S,1
3,female,34.2,0,1,35.8,S,0
3,male,24.0,1,0,47.83,S,0
3,male,33.6,0,0,40.88,S,0
1,female,,0,0,77.2,S,1
1,male,38.7,0,1,68.84,C,0
1,male,24.3,0,0,76.22,C,0
2,female,35.2,0,1,50.08,Q,0
3,female,,0,0,69.34,C,1
2,female,,0,1,52.35,C,1
2,male,29.0,2,1,99.76,S,0
3,female,4.0,0,0,38.71,C,0
2,male,48.0,0,0,62.97,S,0
3,female,16.6,1,0,39.09,S,0
3,male,20.2,0,0,27.49,S,0
2,female,,0,0,53.48,S,0
3,female,49.6,1,0,26.88,S,0
3,male,1.0,1,0,42.56,Q,0
3,female,75.2,1,0,35.66,S,0
1,male,45.0,0,0,92.09,S,0
3,female,,0,0,29.48,S,1
3,female,,2,0,28.24,S,0
2,male,,0,1,54.39,S,0
3,female,37.3,0,0,72.01,S,0
3,female,39.1,0,0,47.31,S,0
3,male,37.8,0,2,34.77,S,0
2,male,31.0,0,0,58.11,C,0
3,female,26.8,0,2,26.58,C,0
2,female,27.5,0,0,120.09,S,1
1,female,,0,0,84.76,S,1
1,female,,1,0,71.05,S,0
1,male,38.3,0,0,80.87,C,0
1,female,1.0,0,0,67.09,S,1
1,male,39.2,0,0,125.78,S,1
3,male,32.5,0,0,28.46,C,1
1,male,29.4,0,0,83.8,S,1
2,male,,0,0,50.07,S,0
3,male,46.0,1,0,47.76,S,0
3,male,43.4,2,0,52.0,Q,0
3,female,,0,0,45.14,C,0
1,male,35.6,0,2,82.16,S,1
1,male,15.6,0,0,105.14,S,1
1,male,9.7,1,2,66.47,S,1
1,male,20.6,1,1,72.23,Q,0
2,male,,0,0,50.14,Q,1
1,male,43.5,0,0,144.63,S,0
1,male,37.1,1,0,73.88,C,1
1,female,,0,0,88.74,S,0
3,male,37.2,0,0,45.78,S,0
1,male,20.4,0,0,69.29,S,0
2,male,36.0,0,0,49.92,S,0
3,female,41.3,1,0,30.95,Q,0
3,male,40.6,3,0,34.53,S,1
1,male,,0,0,69.81,S,0
3,male,40.0,0,1,25.36,Q,0
3,male,34.8,0,0,63.07,C,0
1,male,45.2,0,0,125.66,S,1
3,male,29.3,0,0,32.52,S,0
3,male,,0,0,32.44,S,0
1,male,27.3,0,0,65.13,S,0
2,male,18.9,0,0,65.52,Q,0
3,female,19.9,0,0,56.42,Q,1
3,female,,0,0,27.85,S,1
1,female,18.2,0,2,68.13,S,0
1,female,25.2,0,2,93.1,S,1
2,male,,4,0,62.24,C,0
3,male,32.8,0,0,25.83,S,0
3,male,29.7,0,0,42.54,S,0
2,male,17.9,1,0,51.65,S,0
3,female,39.3,4,0,33.28,S,1
3,male,43.3,0,0,51.43,S,0
1,female,6.4,1,2,94.98,S,1
2,male,18.6,0,0,54.21,Q,0
3,female,18.5,0,0,77.93,C,1
3,male,,0,0,34.39,C,0
3,male,41.7,0,0,51.6,S,0
3,male,,1,0,36.91,S,0
1,male,25.9,0,2,106.01,S,0
2,male,1.0,0,0,87.9,S,0
3,male,,0,0,26.65,C,0
2,female,11.7,0,0,94.62,S,1
2,male,30.6,0,0,76.43,S,0
2,male,33.7,1,0,73.2,C,1
1,male,49.4,1,0,69.04,Q,0
2,female,,1,0,74.44,S,1
1,male,1.0,1,1,99.16,S,0
2,male,32.4,0,0,51.14,S,0
1,male,55.8,1,0,119.76,S,0
3,male,47.7,0,0,25.92,S,0
3,female,32.7,0,1,27.92,S,1
3,male,22.6,0,0,38.88,Q,0
3,male,41.4,0,0,40.44,S,0
3,female,15.6,0,0,43.65,S,1
1,male,36.6,0,0,65.31,S,0
3,male,,1,0,83.11,S,0
3,male,45.1,0,1,25.82,C,0
3,female,69.7,0,0,27.78,S,1
2,male,35.4,3,0,45.25,S,0
1,female,,0,0,80.06,S,1
2,male,29.3,0,1,93.46,C,0
2,male,4.0,0,0,64.74,S,0
3,male,19.6,0,0,56.13,C,0
3,female,23.8,0,0,25.24,S,1
2,male,22.1,0,0,59.06,S,0
3,female,31.9,0,0,36.08,S,1
3,female,,0,0,37.44,Q,1
1,male,46.0,0,0,66.35,Q,1
1,male,29.7,0,0,85.76,S,0
1,male,29.6,0,0,77.59,S,0
2,male,,1,0,71.08,S,0
1,female,32.0,0,0,76.95,S,1
1,female,41.7,0,1,67.91,S,1
2,male,,1,2,63.81,C,0
1,male,20.2,0,2,68.41,Q,1
3,female,,0,1,62.06,S,0
1,male,10.2,0,0,82.09,S,0
3,female,17.8,1,0,28.08,C,1
2,male,22.8,1,0,104.02,C,0
3,female,42.4,0,0,38.15,S,1
1,male,33.5,1,0,66.36,S,0
2,male,32.5,0,0,62.74,S,0
3,male,42.0,0,0,30.26,S,0
3,male,27.7,0,0,54.31,S,0
3,male,35.4,0,0,55.65,S,0
2,female,28.2,1,2,114.49,S,0
1,female,,0,0,77.54,S,1
3,male,21.2,0,0,35.92,S,0
3,male,1.0,2,2,50.21,S,0
3,male,27.8,0,0,27.56,C,0
3,male,,0,0,39.25,C,0
2,male,43.1,0,0,59.22,S,1
3,male,,1,0,26.69,S,0
1,male,47.6,1,1,74.74,Q,0
2,male,31.0,0,0,79.55,S,0
2,male,32.6,0,0,79.9,S,1
3,male,,0,0,26.88,S,0
2,female,25.1,1,0,46.71,S,0
1,male,38.6,0,2,70.49,S,0
3,female,47.2,0,0,62.4,Q,1
2,male,27.7,2,0,47.48,S,1
3,male,23.2,0,0,47.91,S,0
1,female,29.7,0,0,66.92,Q,1
3,female,38.4,0,2,42.57,S,1
3,female,8.8,3,0,32.92,S,1
1,male,1.0,0,0,93.0,S,1
2,male,21.7,0,0,49.79,S,0
1,female,12.0,0,1,83.35,S,1
1,male,22.3,0,0,69.84,S,0
3,male,27.6,0,1,47.51,S,0
2,male,23.1,0,0,82.24,S,0
3,male,50.8,4,2,27.44,S,0
2,female,34.4,0,0,81.26,S,1
3,male,34.1,0,0,41.21,S,0
3,male,38.7,0,0,27.45,S,0
3,male,13.2,0,0,35.04,S,0
3,male,,1,2,28.16,Q,0
2,male,28.6,0,1,66.69,S,0
